Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2006","2006","kg/ha","0.2","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2007","2007","kg/ha","0.47","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2008","2008","kg/ha","0.61","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2009","2009","kg/ha","0.36","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2010","2010","kg/ha","0.43","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2011","2011","kg/ha","0.53","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2012","2012","kg/ha","0.73","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2013","2013","kg/ha","1.14","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2014","2014","kg/ha","1.14","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2015","2015","kg/ha","1.15","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2016","2016","kg/ha","1.14","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2017","2017","kg/ha","0.92","Fc","Calculated data"
